"id","price","shape","weight","color","clarity","cut","polish","symmetry","fluroscence","certificate","lab","stock","supplier_id","location","imageLink","created_at","updated_at"
1,422,"RD",0.33,"D","SI2","EX","EX","EX","NONE",7243716938,"GIA","BC2-6A",1,"HK","https://v360.in/DiamondView.aspx?d=S62554&cid=Sanghvi","2017-10-12 21:41:15",NULL
2,436,"RD",0.32,"F","SI1","EX","EX","VG","NONE",2257145726,"GIA","BF1-7C",4,"HK","https://s3.ap-south-1.amazonaws.com/finestargroup/Viewer1/vision360.html?d=494815961","2017-10-12 21:41:26","2017-10-12 21:41:26"
3,282,"RD",0.31,"F","I1","EX","EX","EX","NONE",6235928238,"GIA","AR4-8",NULL,"HK","https://v360.in/DiamondView.aspx?d=S62554&cid=Sanghvi","2017-10-12 21:44:40","2017-10-12 21:44:40"
4,1289,"RD",0.42,"D","VS2","EX","EX","EX","NONE",7253586875,"GIA","BD1-6K",NULL,"HK","http://segoma.com/v.php?type=view&id=N12SEP444",NULL,NULL
5,598,"RD",0.4,"D","SI2","EX","EX","EX","NONE",6252205971,"GIA","AV-3D",NULL,"HK","http://segoma.com/v.php?type=view&id=ZNO7TMPZWW",NULL,NULL
6,550,"RD",0.43,"D","I1","EX","EX","EX","NONE",7256025419,"GIA","BE1-1E",NULL,"HK","http://segoma.com/v.php?type=view&id=8XAQE5WUU",NULL,NULL
7,1362,"RD",0.43,"E","VVS2","EX","EX","EX","NONE",7256586889,"GIA","BF2-9G",NULL,"HK",NULL,NULL,NULL
8,469,"RD",0.4,"E","I1","EX","EX","EX","NONE",6252065511,"GIA","BE2-9F",NULL,"HK","http://segoma.com/v.php?type=view&id=CUKUMMBMWW",NULL,NULL
9,1109,"RD",0.4,"F","VS2","EX","EX","EX","NONE",7252530632,"GIA","BH-21",NULL,"HK","http://segoma.com/v.php?type=view&id=F5T5F0NZBB",NULL,NULL
10,643,"RD",0.4,"F","SI1","EX","EX","EX","NONE",6251258595,"GIA","BF1-3I",NULL,"HK","http://segoma.com/v.php?type=view&id=GD0S7ZP3WW",NULL,NULL
11,649,"RD",0.41,"F","SI1","EX","EX","EX","NONE",6251206009,"GIA","BE2-11G",NULL,"HK","http://segoma.com/v.php?type=view&id=E60OLLHWYY",NULL,NULL
